,count,mean,std,min,25%,50%,75%,max
YEAR,5819079.0,2015.0,0.0,2015.0,2015.0,2015.0,2015.0,2015.0
MONTH,5819079.0,6.524085168804204,3.405136828053814,1.0,4.0,7.0,9.0,12.0
DAY,5819079.0,15.70459397440729,8.783425069740511,1.0,8.0,16.0,23.0,31.0
DAY_OF_WEEK,5819079.0,3.9269411877721545,1.9888450134344295,1.0,2.0,4.0,6.0,7.0
FLIGHT_NUMBER,5819079.0,2173.0927423394664,1757.0639987862025,1.0,730.0,1690.0,3230.0,9855.0
SCHEDULED_DEPARTURE,5819079.0,1329.6024700816056,483.75182087415544,1.0,917.0,1325.0,1730.0,2359.0
DEPARTURE_TIME,5732926.0,1335.2044390595659,496.4232601194414,1.0,921.0,1330.0,1740.0,2400.0
DEPARTURE_DELAY,5732926.0,9.370158275198389,37.08094249676218,-82.0,-5.0,-2.0,7.0,1988.0
TAXI_OUT,5730032.0,16.07166225249702,8.895574065405873,1.0,11.0,14.0,19.0,225.0
WHEELS_OFF,5730032.0,1357.1708412797695,498.0093562214351,1.0,935.0,1343.0,1754.0,2400.0
SCHEDULED_TIME,5819073.0,141.6858915500802,75.2105823060576,18.0,85.0,123.0,173.0,718.0
ELAPSED_TIME,5714008.0,137.00618917579393,74.2110716982657,14.0,82.0,118.0,168.0,766.0
AIR_TIME,5714008.0,113.51162809012519,72.2308216203237,7.0,60.0,94.0,144.0,690.0
DISTANCE,5819079.0,822.3564947305235,607.7842873177373,21.0,373.0,647.0,1062.0,4983.0
WHEELS_ON,5726566.0,1471.4686087613413,522.1879449699263,1.0,1054.0,1509.0,1911.0,2400.0
TAXI_IN,5726566.0,7.4349708010001105,5.6385476872631575,1.0,4.0,6.0,9.0,248.0
SCHEDULED_ARRIVAL,5819079.0,1493.8082485218022,507.16469559406323,1.0,1110.0,1520.0,1918.0,2400.0
ARRIVAL_TIME,5726566.0,1476.4911879126164,526.3197372123002,1.0,1059.0,1512.0,1917.0,2400.0
ARRIVAL_DELAY,5714008.0,4.407057357987598,39.271297093929846,-87.0,-13.0,-5.0,8.0,1971.0
DIVERTED,5819079.0,0.0026098631759424473,0.05102011600898732,0.0,0.0,0.0,0.0,1.0
CANCELLED,5819079.0,0.015446430612129514,0.1233200754331267,0.0,0.0,0.0,0.0,1.0
AIR_SYSTEM_DELAY,1063439.0,13.480568231934319,28.00367890015114,0.0,0.0,2.0,18.0,1134.0
SECURITY_DELAY,1063439.0,0.07615387436420895,2.1434595705094766,0.0,0.0,0.0,0.0,573.0
AIRLINE_DELAY,1063439.0,18.969546913363153,48.16164189847178,0.0,0.0,2.0,19.0,1971.0
LATE_AIRCRAFT_DELAY,1063439.0,23.472837652183152,43.19701847747026,0.0,0.0,3.0,29.0,1331.0
WEATHER_DELAY,1063439.0,2.915289922600168,20.433335717510626,0.0,0.0,0.0,0.0,1211.0
